date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:22	13727/13727	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:28%20GMT	https://www.nepalholidaytour.in/contact.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/contact.html	(from https://www.nepalholidaytour.in/)
12:12:23	178149/178149	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/explore-nepal.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/explore-nepal.jpg	(from https://www.nepalholidaytour.in/)
12:12:23	72553/72553	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/pokhara-tour-with-mm-travels.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/pokhara-tour-with-mm-travels.jpg	(from https://www.nepalholidaytour.in/)
12:12:23	17853/17853	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:29%20GMT	https://www.nepalholidaytour.in/03-days-pokhara-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/03-days-pokhara-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:24	18813/18813	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:30%20GMT	https://www.nepalholidaytour.in/03-days-kathmandu-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/03-days-kathmandu-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:24	116565/116565	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/kathmandu-tour-from-gorakhpur.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/kathmandu-tour-from-gorakhpur.jpg	(from https://www.nepalholidaytour.in/)
12:12:24	106258/106258	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/chitwan-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/chitwan-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:24	19877/19877	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:30%20GMT	https://www.nepalholidaytour.in/chitwan-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/chitwan-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:25	107506/107506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/muktinath-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/muktinath-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:25	22377/22377	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:31%20GMT	https://www.nepalholidaytour.in/07-days-muktinath-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/07-days-muktinath-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:25	65757/65757	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/bandipur-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/bandipur-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:25	17531/17531	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:31%20GMT	https://www.nepalholidaytour.in/pokhara-bandipur-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/pokhara-bandipur-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:25	102334/102334	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/lumbini-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/lumbini-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:26	4585/4585	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/fb.png	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/fb.png	(from https://www.nepalholidaytour.in/)
12:12:26	168548/168548	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/gorakhpur-railway-station.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/gorakhpur-railway-station.jpg	(from https://www.nepalholidaytour.in/)
12:12:26	172346/172346	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jul%202023%2021:35:55%20GMT	https://www.nepalholidaytour.in/img/gorakhnath-temple-gorakhpur.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/gorakhnath-temple-gorakhpur.jpg	(from https://www.nepalholidaytour.in/)
12:12:26	9621/9621	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/whatsapp.png	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/whatsapp.png	(from https://www.nepalholidaytour.in/)
12:12:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:32%20GMT	https://www.nepalholidaytour.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.nepalholidaytour.in/)
12:12:27	37414/37414	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/bootstrap.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/bootstrap.min.js	(from https://www.nepalholidaytour.in/)
12:12:27	85578/85578	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/jquery-2.2.4.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/jquery-2.2.4.min.js	(from https://www.nepalholidaytour.in/)
12:12:27	35324/35324	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/isotope.pkgd.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/isotope.pkgd.min.js	(from https://www.nepalholidaytour.in/)
12:12:27	20216/20216	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/jquery.magnific-popup.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/jquery.magnific-popup.min.js	(from https://www.nepalholidaytour.in/)
12:12:28	40401/40401	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/owl.carousel.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/owl.carousel.min.js	(from https://www.nepalholidaytour.in/)
12:12:28	2120/2120	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/owl.animate.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/owl.animate.js	(from https://www.nepalholidaytour.in/)
12:12:28	2035/2035	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/jquery.scrollUp.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/jquery.scrollUp.min.js	(from https://www.nepalholidaytour.in/)
12:12:28	1067/1067	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/jquery.counterup.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/jquery.counterup.min.js	(from https://www.nepalholidaytour.in/)
12:12:28	15414/15414	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/modernizr.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/modernizr.min.js	(from https://www.nepalholidaytour.in/)
12:12:29	8044/8044	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/waypoints.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/waypoints.min.js	(from https://www.nepalholidaytour.in/)
12:12:29	4019/4019	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/jquery.meanmenu.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/jquery.meanmenu.min.js	(from https://www.nepalholidaytour.in/)
12:12:29	5600/5600	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/imagesloaded.pkgd.min.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/imagesloaded.pkgd.min.js	(from https://www.nepalholidaytour.in/)
12:12:29	4089/4089	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/js/custom.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/js/custom.js	(from https://www.nepalholidaytour.in/)
12:12:30	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regular.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regular.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:30	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regulard41d.html?	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regulard41dd41d.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:30	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-2.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-2.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:31	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-3.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-3.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:31	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-4.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-4.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:31	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-5.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/fonts/glyphicons-halflings-regular-5.html	(from https://www.nepalholidaytour.in/css/bootstrap.min.css)
12:12:31	63944/63944	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/owl.video.play.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/owl.video.play.html	(from https://www.nepalholidaytour.in/css/owl.carousel.min.css)
12:12:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:38%20GMT	https://www.nepalholidaytour.in/img/preloader.gif	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/preloader.3b.delayed	(from https://www.nepalholidaytour.in/css/main.css)
12:12:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:38%20GMT	https://www.nepalholidaytour.in/img/counter_bg.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/counter_bg.jpg	(from https://www.nepalholidaytour.in/css/main.css)
12:12:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:38%20GMT	https://www.nepalholidaytour.in/img/top-service-bg.html	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/top-service-bg.html	(from https://www.nepalholidaytour.in/css/main.css)
